tweet,class,sentiment
best vote obama state dept told libyan consulate stop asking security,-1,negative
watching obama honestly elected,-1,negative
voting obama cause weed,1,positive
obama vote women right murder vote obama,1,positive
obama cut benefits,-1,negative
save jobs vote obama obama mitt,-1,negative
words hillary says obama biden lying says president,-1,negative
obama best choice president via,1,positive
newt gingrich said obama show debate one national security briefings lol true,-1,negative
many big lie obama call benghazi attack terrorism,-1,negative
fuck romney want obama win,1,positive
reasons people vote obama,-1,negative
fact obama taken something terrible made terrible libs still play,-1,negative
already voted early obama obama,1,positive
team obama,1,positive
jason thompson obama opportunity send president back huffington post,-1,negative
obama president dems stop jfk good president,1,positive
watched obama every american needs see elected far worse state,-1,negative
president obama debt,-1,negative
heads fox news obama owns stock sensata shit fox nation,1,positive
morgan freeman support barack obama know win election,1,positive
obama win morgan freeman one commercials,1,positive
obama definitely winning got morgan freeman narrate,1,positive
obama used morgan freeman voice new commercial win,1,positive
morgan freeman narrate obama got couple votes,1,positive
morgan freeman narrating presidential campaign add already book obama,1,positive
morgan freeman voice campaign video obama vote,1,positive
name obama going president next four years forget vote november,1,positive
america obama gets elected,-1,negative
morgan freeman obama commercial,0,neutral
obama killing jobs blamed workers fired via,-1,negative
someone tells voting obama first thing ask dumb lol,-1,negative
obama care moving family back live,-1,negative
electric made solar made obama outsourcing,-1,negative
obama team promises interesting debate need second,0,neutral
son gop senate candidate speaks sending obama back chicago kenya,1,positive
voting obama,-1,negative
obama sent tax money president history,-1,negative
young low obama expectations save washington times washington low obama,0,neutral
vote obama investment strong future philadelphia inquirer endorses reelection,1,positive
listening radio said libyan obama actually qaeda,-1,negative
obama cares poor forget helped illinois,1,positive
went doors talking early voting obama entire ticket,1,positive
voters care obama foreign policy record spend afghanistan million citizens live poverty,-1,negative
another obama turns dust cbo billion loss conservative news views amp,-1,negative
obama likely blow second debate via,-1,negative
obama holds slim lead next debate,-1,negative
obama turns jobs put cuz political agenda instead jobs,-1,negative
could see would happen soon media failed benghazi debate obama bad,-1,negative
obama lose packing shit moving bikini bottom fuck bullshit,1,positive
president obama remarkable performance tonight debate make proud know,1,positive
every already hit america name obama,-1,negative
boss campaign obama ohio iowa via,0,neutral
lilykins spend way debt moron america debt issue called trillion obama spending,-1,negative
blind obama loving person would think axelrod said prez totally responsible time protect americans,-1,negative
obama debate let see lie,-1,negative
update clean energy obama crony files bankruptcy received million porkulus funds,-1,negative
vote obama need pants avoiding white house,1,positive
clean energy obama crony announces debt default,-1,negative
heck media thing close something say obama win landslide,1,positive
obama ahead latest poll three weeks election day bob,1,positive
obama fighting jobs,1,positive
obama fan agree paul ryan heard lot speeches obama results,-1,negative
gave obama debates like prince,0,neutral
find donors america barack obama heads communist china,-1,negative
debates matter performance barack obama first presidential debate october,-1,negative
obama fault romney lies ass romney responsibility comes mouth,-1,negative
obama failed amp keep failing smart run good lies amp cover ups liar,-1,negative
obama votes dont even count cuz none doesnt matter,-1,negative
hillary obama engenders sort fealty seems like inept civil servant many,-1,negative
hillary obama engenders sort fealty seems like inept civil servant many,-1,negative
obama town hall debate promises,0,neutral
blame benghazi stop obama via media,-1,negative
time tonight game obama,0,neutral
need blue matter campaign obama,0,neutral
hillary part benghazi gate time obama,-1,negative
blame getting old obama lose people tired passing buck,-1,negative
via hillary benghazi obama told,-1,negative
waiting obama get crowd,-1,negative
women obama plus size,1,positive
watch obama abc cbs cnn msnbc brilliant,0,neutral
another obama executive order allows seizure americans bank accounts bank accounts twitter,-1,negative
vote obama hate america,-1,negative
cheer behind president obama,1,positive
lilykins women see obama administration lies really believe video americans libya,1,positive
nobody job obama campaign expectations debate,-1,negative
obama needs explain next four years different,0,neutral
obama say one,0,neutral
think president barack obama done exactly said going change usa,0,neutral
fast furious benghazi wars current body count pres obama,0,neutral
obama coming,0,neutral
obama got back every dime money,-1,negative
one word obama looks,-1,negative
policy health obama hope,1,positive
gas prices hurting americans obama continues domestic energy,-1,negative
wants run really needs obama reelected,1,positive
sit obama done america like,-1,negative
obama know amp know benghazi act war know big donors got loan know,-1,negative
george soros behind obama party thing clinton power,1,positive
washington times pro abortion policies obama administration,0,neutral
obama campaign failed presidency lies president obama,-1,negative
african americans sticking obama,-1,negative
absolutely already state dept obama wins makes sense,-1,negative
whoa obama already stage hofstra university wait never mind empty chair,0,neutral
lol also obama good president,-1,negative
americans something pile black house benghazi obama cover hill ass,-1,negative
please ask candidates much trillion debt obama administration policy,0,neutral
obama crony second presidential debate president barack obama,-1,negative
every person since obama took office left let see obama defend,-1,negative
usa obama puts blame hillary course woman fault jobs,1,positive
last debate yes lol romney says people want hear end screw feeling,-1,negative
finally know details romney,0,neutral
obama already loser talking debate,-1,negative
rush limbaugh obama campaign done personally rest freedom back obama destruction,-1,negative
obama supporters admit candidate campaign new running fear debates,-1,negative
media already say obama aggressive,-1,negative
hillary want imagine obama would take place,0,neutral
systems bankruptcy today making failed green energy company obama stimulus money,-1,negative
fine since obama much head high represents americans care future usa,1,positive
got ass amp obama right lol,0,neutral
obama ask amp report,-1,negative
obama plan creates jobs,1,positive
obama budget deficit since taking office per dept,1,positive
obama picks another loser files bankruptcy getting million taxpayer,-1,negative
obama picks another loser files bankruptcy getting million taxpayer,-1,negative
obama hahaha last time see tweeting abt,0,neutral
nailed obama live reality smoke amp knows,-1,negative
president really hope moderator gets chance question mitt romney jobs overseas,-1,negative
really care vote obama red states highest abortion gop fails,1,positive
obama cares unions parents higher grade teachers kids piss,-1,negative
honey boo boo endorses barack obama president jimmy live video via,1,positive
wow promises buck obama elected president happy days,0,neutral
women elections obama eye candy strategy losing women,-1,negative
doubt work claim voting obama true,-1,negative
completely agree regarding much enthusiasm romney mccain rep base,1,positive
seeing many obama signs last election people hope change,-1,negative
illinois obama chicago poll,1,positive
bad news mitt romney statements,0,neutral
would obama plan tax paid transportation,0,neutral
worst obama policies helped,-1,negative
obama care security american people care muslim brotherhood power,-1,negative
obama please address romney person much using person,0,neutral
obama strength connecting people whatever romney romney show,0,neutral
obama making hillary take fall foreign policy failures talk war women,-1,negative
report yet another loser obama turns romney right picks losing companies maybe business experience,-1,negative
move hillary look presidential future run standing obama,-1,negative
possible hillary obama take responsibility maybe even,0,neutral
obama loan help small business,1,positive
obama think get reelected,0,neutral
yeah never want taxpayer side one obama investments,-1,negative
romney finally tax plan,1,positive
difference think obama white less powerful one wants,-1,negative
talking call obama libya attacks thank god someone talking knew,0,neutral
believe obama doesnt really want win race wants lay back home life golf celebrities,-1,negative
find goes hillary obama,-1,negative
gasoline prices obama says,-1,negative
sick ceo employees obama wins surprised lay,-1,negative
clinton took fall obama video whose life,-1,negative
blame benghazi stop obama via media,-1,negative
obama mitt romney says bull,1,positive
let obama win everyone knows,1,positive
another obama turns dust cbo billion loss,-1,negative
election exactly three weeks away jay new president barack obama camp,0,neutral
honestly strategy obama simply advantage comes hand,-1,negative
barackobama,0,neutral
agree points obama address change near zero chance cnn picked undecided voter ask,-1,negative
never said could tell vote think obama positions like dislike,1,positive
obama prez kill trouble bills high learn budget continue progress,1,positive
obama behind drops world,-1,negative
exclusive obama white half speaks,0,neutral
game presidential debate tonight want hit home run obama,1,positive
interested obama done great job shame congress many,1,positive
problem obama first order records,-1,negative
obama anything politics put foreign risk amp like good little takes hit,-1,negative
whoa look hill falling sword obama ahead debate tonight,1,positive
still know get obama said completely destroyed said many leaders,1,positive
put nation hands obama experience amp accomplishments nothing,-1,negative
absolutely right nightmare israel obama elected,0,neutral
absolutely right nightmare obama elected,-1,negative
obama efforts claim responsible anything letter election campaign,-1,negative
trust clinton much less obama administration need,-1,negative
riots obama loses bring losers obama would love,0,neutral
someone tell obama obama care losing via,-1,negative
calls president obama debate performance embarrassment announces,-1,negative
says piss poor president vote,-1,negative
want help elect obama visit obama main next,1,positive
interviews calls president obama debate performance embarrassment announces,-1,negative
miners fight back obama absolute lies via,-1,negative
obama last name barack first,0,neutral
whatever number jobs created obama administration lost,-1,negative
good luck obama,1,positive
secret like get press fire obama,-1,negative
put company ahead obama election campaign business,1,positive
obama doesnt win,1,positive
bain closing sensata jobs lost obama takes jobs lost taxpayer money lost winner unions,-1,negative
awesome koch brothers green employees lose jobs vote obama,-1,negative
whatever happen vote die campaign support obama,-1,negative
yeah hope obama make,1,positive
seen romney ads watch much,0,neutral
well good use taxes pay church nothing worry obama win,1,positive
miners fight back obama absolute lies lies libya,1,positive
green battery company got taxpayer goes bankrupt thanks obama,-1,negative
show respect romney wins leads,-1,negative
low unemployment sound market iowa economy obama promised country,1,positive
obama job head,-1,negative
obama spends days debate must know anything hes lies,-1,negative
obama self,0,neutral
obama fuel future transportation,0,neutral
obama campaign criticizes gallup swing state poll,0,neutral
hillary responsible obama speech youtube lie,-1,negative
prove obama taking military give sounds right,0,neutral
president obama best choice americans,1,positive
obama let america debt deficit cancer via,-1,negative
hey obama said would cut deficit end term cut bad right,1,positive
obama love,1,positive
obama least today almost smart,1,positive
new shows pres obama failed policies hurt raised debt,-1,negative
fact president obama added record national debt,-1,negative
video obama got get beat mind,-1,negative
obama drilling half alaska reserve,0,neutral
obama administration united states,1,positive
president obama pushed jobs bills blocked order jobs number high,-1,negative
president obama democrats either idiots trying destroy economy,-1,negative
obama blame bush congress wall street clinton libya gallup women,-1,negative
made clear congress stop obama every turn congress must voted,-1,negative
obama dollars debt could cost middle class families higher taxes,-1,negative
obama promises remind high school kid running class president put,-1,negative
obama promises remind high school kid running class president put,0,neutral
also saw kid asking obama ppl hate obama tell truth ppl hate hate policies,-1,negative
voter romney campaign files federal suit military count,0,neutral
jobs prediction obama set,-1,negative
obama camp attacks gallup,0,neutral
president obama wind,0,neutral
better vote obama,1,positive
since keep talking electoral college obama ahead major states except slow ass south,1,positive
obama politician genius still black man leader free world lol,1,positive
obama come clean voters wearing hat real plans second term,0,neutral
obama lgbt americans obama video stars,1,positive
love msm saying romney getting obama size crowds shows stand give romney credit,1,positive
gop leader obama private sector jobs save economy,1,positive
agreed obama liar needs address,1,positive
lie auto bailout failure new amp video obama biden claim,-1,negative
paul ryan debt since obama became president,-1,negative
never black people see obama black skin amp defend incompetence always,-1,negative
elections president obama advantage see report,1,positive
would vote rather obama wasting time,-1,negative
work college living back home parents obama,-1,negative
obama leader take charge libya investigation call responsible,-1,negative
obama administration full marxist murders money wasting gay sex,-1,negative
obama administration mother answers son murder,-1,negative
obama war women tom,-1,negative
bill hiring obama hillary take responsibility benghazi hiding behind,0,neutral
obama made country worse debt military weak may look less unemployed claim,-1,negative
drop make ballot shake vote obama good vote obama free,1,positive
breaking obama preparing military strike benghazi terrorists via,1,positive
dear obama please bring campaign obama death tonight get get,-1,negative
hillary clinton obama benghazi scandal via,-1,negative
romney gov seriously healthcare get game,1,positive
obama needs,-1,negative
former obama aide really like people,-1,negative
obama needs prayers tonight debate serious pass folks believe prayer works,1,positive
completely agree country think hands obama country big trouble,-1,negative
hate obama voted love honest,-1,negative
comments clearly show even consider pres obama wrong anything,-1,negative
koch industries ceos warn employees layoffs obama reelected ticket yahoo news via,-1,negative
apparently obama president seems never make decisions amp never knows whats goin,-1,negative
interesting see obama signs,-1,negative
many ppl injured killed obama administration anti,-1,negative
like see obama spears better,0,neutral
haha might agree joe biden everything amazing also made obama weak debate,-1,negative
giuliani interview cnn soledad brien debating obama team member,0,neutral
obama real nigga gave wife shoutout cnn guys even put girlfriends bio,1,positive
hope obama today like boss,1,positive
obama needs prayers tonight debate serious pass folks believe prayer works,1,positive
say video really anything elected obama plans working,1,positive
chris lied romney obama never raised taxes middle class,1,positive
ross perot afford barack obama,-1,negative
rush limbaugh thinks obama done rush done forever,-1,negative
obama spin laden like,0,neutral
president obama declared new national disaster,0,neutral
former aide says obama like people close anyone,-1,negative
hillary took obama buck still falling,-1,negative
obama loves companies bankrupt car battery maker files bankruptcy via,-1,negative
action speaks louder words president obama cares,1,positive
obama failed green energy companies,-1,negative
obama shovel ready job tonight,1,positive
yet another one obama green energy investments files bankruptcy lose million,-1,negative
obama campaign new base strategy telling liberals stupid,0,neutral
really want mind watch obama america,1,positive
thanks obama another green stimulus company bankruptcy,-1,negative
also help obama supporting kids little,1,positive
video jay endorses president obama says vote matters new public,1,positive
obama take responsibility never taking responsibility anything want responsible clear,-1,negative
really believe people questions allowed ask obama cheat liar,-1,negative
obama bothered jobs election year,0,neutral
debate redemption night round obama romney free,0,neutral
obama goes record child poverty think plan goes far enough,-1,negative
obama goes record child poverty think plan goes far enough,-1,negative
like obama,0,neutral
love keep praying think god fight obama great country,-1,negative
cause obama,1,positive
says voted barack inside,1,positive
obvious quit obama job killing tax,-1,negative
may like obama vote anyway makes,1,positive
busted obama amp hillary lying color blaming video usa bus,-1,negative
tea party drops obama phone lady tea party fox nation,0,neutral
national debt increased percent since need blame obama,-1,negative
obama piss poor president,-1,negative
amp host obama,0,neutral
gop leader obama private sector jobs save economy via,1,positive
obama lies fast furious killed bush fault,-1,negative
obama support,1,positive
correct fallen obama lies,-1,negative
obama hiding behind hillary streets grew would called,-1,negative
report please call little known huge obama clinton amp yrs,-1,negative
obama going lose good thing everyone,-1,negative
moron one obama admin guns health care choice,-1,negative
paul ryan debt since obama became president,-1,negative
video looked amp saw world powerful man back meet obama,-1,negative
report stunning president obama likes power amp position details job,-1,negative
government seem make obama,-1,negative
wow dude thought barack obama lives rich gives poor,0,neutral
character lives rich gives poor barack obama,0,neutral
obama war middle class,-1,negative
obama set cut federal deficit almost end,1,positive
mark obama dumb hofstra debate via,-1,negative
actually feel sorry obama never mind passed like gas,-1,negative
say obvious obama coward bothered letting take fall,-1,negative
women turning away negative obama biden ticket,-1,negative
ryan obama like debt crisis,-1,negative
actually obama defense probably sent jobs overseas bain,-1,negative
romney owns chinese taking american jobs bain shipped overseas,-1,negative
failing bring gop bad record bush gop toward obama,-1,negative
agree obama direction,0,neutral
also mention american dream impossible obama says rich,0,neutral
obama florida israel national news,-1,negative
obama success days debate,1,positive
saw draw devil picture obama compared,-1,negative
hillary clinton shield obama benghazi scandal,1,positive
hillary clinton shield obama benghazi scandal,-1,negative
unmet promises president obama via,-1,negative
obama done alot country wall street reform recession american auto industry big deal,1,positive
obama immigration order efforts work across reform,1,positive
obama buck stops man politician still president,-1,negative
follow tweets obvious stand mitt obama little,-1,negative
absolutely right non obama reveal lack character,-1,negative
vote barack obama,-1,negative
obama must hit hard tonight town hall media dying report obama comes back,1,positive
another obama winner systems bankrupt million taxpayer money obama stock would fired,-1,negative
cares amp unemployment obama finally nicki minaj mariah carey feud,0,neutral
cant admit obama fault wrong libya either either one pick,-1,negative
obama playing dope romney obama romney something lose,0,neutral
obama changes video top please,-1,negative
feel sorry obama million playing golf view living new,-1,negative
gallup polling obama justice polls,-1,negative
shows pres obama failed policies hurt raised debt,-1,negative
bout listen paul ryan give speech talk america comeback team defeat obama,-1,negative
obama black reason anyone like obama,-1,negative
years ago today obama years ago today bush,0,neutral
rush limbaugh believes obama marriage limbaugh comment,0,neutral
think obama done nothing first term accomplishments,1,positive
hey president obama need follow school college drinking please follow please,0,neutral
agree romney tax cuts lead jobs great gop lie let keep getting away,-1,negative
voted obama support,-1,negative
believe hillary clinton taking responsibility something responsible obama coward,-1,negative
hear show president obama foreign policies proof,-1,negative
obama biden,0,neutral
taliban racists taliban statement also says saying black devil obama,0,neutral
saying wants obama get reelected good man,-1,negative
remember obama first got elected niggas acted like second coming jesus,1,positive
obama likes people successful ones actually economy,1,positive
success barack obama want jobs back american,1,positive
behind obama admin talking points benghazi,0,neutral
fight years get records obama,-1,negative
kidding felt obama looks face took attacks,-1,negative
hope tonight debate fall obama,-1,negative
obama taking tough questions stuff like view,-1,negative
hell romney people moderator crowley agreed amp,0,neutral
might large govt employees amp live done well obama,1,positive
jay obama could come stage amp non stop amp msm would declare winner making debate,0,neutral
obama fans think better already hope change slogan obama,-1,negative
hope said libya stuff threatens obama claim success foreign policy,-1,negative
liberals jumping racism obama poll left,-1,negative
supports world peace amp potus barack obama,1,positive
think obama hillary rice lied youtube video caused attack american,-1,negative
obama details matter,0,neutral
right working days senate gop everything majority obama bills,-1,negative
goes bunch right election got obama elected,0,neutral
shit think show cause poll behind voting obama,0,neutral
obama arrogant man alive,-1,negative
obama admin closed drilling mil want gas prices,-1,negative
important fact remember going tonight debate time obama lying mouth moving,-1,negative
obama promises cut deficit spend bunch money education green energy create jobs heard,0,neutral
obama man islamic terrorism really giuliani,-1,negative
something consider obama took private sector amp public sector using taxpayer money take,0,neutral
time obama many country false sense security,-1,negative
obama still saving government motors government,0,neutral
good ceos clear politics obama,0,neutral
obama president seal team family obama rules getting warriors killed,-1,negative
sir barack time,-1,negative
obama immigration party politics best,-1,negative
kids obama wins,1,positive
obama,1,positive
feel fabulous obama says per pool look beautiful day asked hillary blame benghazi kept walking,-1,negative
certainly understand obama losing women vote look destroyed hillary rice man take responsibility,-1,negative
going iran new obama,0,neutral
drive work took nearly two hours today screw obama voting white guy,-1,negative
obama debate failure enough,-1,negative
obama write call love,-1,negative
obama golfing bin laden plan without,-1,negative
came libya want president obama held responsible joke never,1,positive
pressure obama tonight,-1,negative
girl talkin bout obama wins moving,1,positive
world biggest obama supporter,0,neutral
agree feel bad time seems getting thru either least many anti obama,-1,negative
days left election come obama still,0,neutral
one believes obama mouth lies give november,-1,negative
feel like obama first black president united states huge social also feel failing,-1,negative
obama drilling private land business creates jobs need nothing amp,1,positive
americans obama,0,neutral
matter honey boo boo endorses obama think need vote win also,0,neutral
yeah hillary fault lmao obama president hillary maybe attended briefings,-1,negative
news michelle obama killed way jobs ever created,-1,negative
obama team people spin room tonight biden network morning shows,0,neutral
sure obama loses election hear racism likes,0,neutral
gingrich insists obama libya cover worse watergate via media,-1,negative
many say want obama,0,neutral
amp fire candy crowley chair tonight obama raise,0,neutral
obama barack nice day,0,neutral
words english language barack hussein obama elected,-1,negative
aggressive obama still make grade,-1,negative
quite one last campaign obama yes change,1,positive
obama,1,positive
president obama job performance reelection posted reasons obama,-1,negative
please dont let libya murders get aside media keep tweeting dont let obama,-1,negative
much obama pay hilary clinton take blame embassy attack,-1,negative
interviews unmet obama promises,-1,negative
gay celebrities speak obama lgbt accomplishments,1,positive
think people dislike obama liar making really bad decisions regarding economy,-1,negative
voters seeing real obama weak pointing excuse making man weak leader,-1,negative
real obama neither least cant hurt anyone,0,neutral
gone alot hurt people obama dont get elected,1,positive
white liberals threaten race riots obama loses,1,positive
months days hours minutes seconds obama leaves office,-1,negative
wants green car green car obama gave might good enough buy,0,neutral
obama something could things,-1,negative
dont want hear clinton explain want hear president obama clearly explain mitt debate,-1,negative
yes obama got,-1,negative
think anybody voting obama undecided,0,neutral
obama never crisis would another years,-1,negative
voting romney kill obama true leader stupid americans,1,positive
yes obama real winning points negative attacks,-1,negative
time obama romney,0,neutral
course type action also matters obama powerful since actions,1,positive
nytimes making great videos recently check obama,0,neutral
seen anything obama plan next years plan tax make mil,-1,negative
dollars obama keeps buck stops inflation,-1,negative
one thinks tht obama letting hillary take blame women looks small,-1,negative
video obama campaign benghazi consulate never asked security,-1,negative
benghazi obama never take blame anything hiding behind hillary passing blame desperate potus,-1,negative
reason obama must libya mistakes,-1,negative
lol giving speech nice obama like use big words giving speech good good,-1,negative
obama look like ass fake obvious,-1,negative
probably right make obama bitch,-1,negative
thinks get clinton obama one investigation needs voted vote,1,positive
think obama take responsibility would first time,-1,negative
obama first thought hillary real prez see barack hope speaking,-1,negative
romney signs obama yeah get,0,neutral
obama,0,neutral
pool report reporter hillary blame benghazi obama silence kept walking,-1,negative
think mean break yes meant obama term,0,neutral
eyes america poor would hope barack wins,1,positive
get obama office,-1,negative
let see like weak hussein obama,-1,negative
help pres obama protect amp,1,positive
president obama pressure second presidential debate comes early,-1,negative
watch lgbt celebrities star new video supporting obama,1,positive
amen though real guy let see obama anything like,0,neutral
obama take responsibility front million might say clinton fired,-1,negative
obama white house programs budget priority black families,0,neutral
record agenda speak obama another tough night,-1,negative
obama loses tonight expect meltdown,1,positive
people really understand comment obama putting coal miners work defend,-1,negative
awesome obama threw hillary bus yesterday libya yeah really cares women,-1,negative
remember well lets hope obama brings game though,1,positive
ever another president like obama took responsibility anything,-1,negative
would believe obama today everything anyone else fault spends time hollywood office,-1,negative
acting like pictures obama family fake ryan photo,-1,negative
would success hole ship obama economy,-1,negative
obama created two problems first debate fix one tonight,-1,negative
reporter hillary blame benghazi obama silence kept walking,-1,negative
bill clinton used women obama continues use cares say,-1,negative
cause obama sucks,-1,negative
ceo threatens fire employees obama wins via,1,positive
buddy voting neither man think socialist views romney business man,-1,negative
obama picks another loser green investment,-1,negative
lilykins obama tell last jobs report new jobs part time jobs good news americans,-1,negative
obama became president well wife,0,neutral
obama amp romney get finally got vote,1,positive
obama like white chicago barry,-1,negative
latest desperate obama campaign fyi obama owns shares sensata,-1,negative
set become biggest foreign think forgot obama giving,-1,negative
say tonight debate must win president obama agree disagree,0,neutral
david give obama show libs tough back,-1,negative
yes class warfare good thing hussein obama knows nothing warfare hilary took blame,-1,negative
would ask global obama wife,-1,negative
executive order obama million,1,positive
biggest reason obama supporters hanging fear honest admitting mistakes,0,neutral
biggest reason obama supporters hanging fear honest admitting mistakes,-1,negative
ohio key obama romney,0,neutral
yesterday obama said people long one caught,-1,negative
democrats call obama puppet ahead democrat,-1,negative
smart answer would buck stops makes obama amp clinton look good big time,-1,negative
think call obama liar well obama liar,-1,negative
obama would wife kidding look debate moderator words needed,-1,negative
added romney,-1,negative
lilykins obama policy try,-1,negative
american voting obama,-1,negative
obama low socialist try failing campaign tonight people already see,-1,negative
race little time left moment obama,1,positive
haha jobs obama,-1,negative
soros obama huge financial,-1,negative
says obama gets romney tonight chicago bus driver uppercut goin,1,positive
hope obama,-1,negative
ready debate tonight obama better come,0,neutral
made donation today support president obama,1,positive
know obama trouble campaign speech bullshit bill clinton,-1,negative
ask obama take responsibility second terrorist attack killing americans,-1,negative
lilykins true obama could white americans vote,0,neutral
republican amp women enough far left obama amp vote romney,-1,negative
debate obama george bush trillion deficit,1,positive
obama foreign policy blame acting like never acted like obama president,-1,negative
polls always never obama ahead points may take tho,0,neutral
ryan asked plan sent speech obama leader speech teleprompter works know,-1,negative
means big bird obama supports knew,-1,negative
obama jan today economic,-1,negative
barack obama remember king debate best defense attack good luck,1,positive
given success expect obama next debate,0,neutral
report taxpayer money obama cost huge loss,-1,negative
obama middle class,1,positive
mitt used mistakes would take week finish mistake like would white man,-1,negative
bruce amp mitt look like brothers imagine mitt halloween,0,neutral
poor hilary clinton women taking fall obama enough throwing women bus mistake,-1,negative
report aide prez stunning politics really like people obama,-1,negative
know drive hillary clinton someone told take obama fall amp lying,-1,negative
well said obama support israel,-1,negative
simmons world loves people work hard everything wonder puts obama,-1,negative
obama republican gop would reagan obama,1,positive
million kids picked president obama win president wins florida amp ohio romney wins,1,positive
better honey boo boo endorses president obama,1,positive
matter much support president obama matter much support smart policies,-1,negative
click previous days see many months obama hope debate,-1,negative
obama master,1,positive
well pretty dress agree wonder pro obama would happened doubt,0,neutral
yes thank god obama wasnt good job debt economy would really bad,1,positive
lilykins racist obama said son would looked like shameful president race,-1,negative
politicians right life liberty yet obama wants cut defense,-1,negative
libya issue security month lies quit trying cover obama,-1,negative
get also great see action obama amp biden look,-1,negative
obama thinks killing terrorists make nothing taken,-1,negative
tom admits drinking obama aid calls president war criminal,-1,negative
obama take responsibility pushing aggressive campaign lies americans lay dead doubt full,-1,negative
obama take responsibility pushing aggressive campaign lies americans lay dead doubt full,-1,negative
another obama green collapse several years systems,-1,negative
member obama save jobs,1,positive
swing state points toward obama past days putting today,1,positive
point stop buck stops office let obama feel failure,-1,negative
know obama one one,-1,negative
obama national security responsible buck stop time,-1,negative
sports politics stars life twitter full obama help keep way,0,neutral
news obama try town hall debate format advantage blog obama,-1,negative
town hall debate obama promised line line thru budget,-1,negative
obama said brown guy vote,1,positive
twitter people questions obama,0,neutral
obama problem offshore outsourcing problem,0,neutral
even count number time obama,-1,negative
america needs another economic debate obama whole time,0,neutral
wonder many health care fans obama care,0,neutral
need create jobs yes obama yrs,-1,negative
say chris brown main event obama romney,0,neutral
president obama,0,neutral
vote obama end like osama,1,positive
obama better tonight good enough pop,1,positive
obama chill person lol,1,positive
obama look like worry,0,neutral
obama taxes lol,0,neutral
obama winning obama way,1,positive
outsourcing obama shame,-1,negative
shut let obama speak,0,neutral
sense obama obama idea run business maybe worked would,-1,negative
glad buck stopped obama obama playing golf,-1,negative
fact obama rose garden benghazi terrorist attack act terror thanks playing crowley,-1,negative
obama,0,neutral
obama obama obama obama obama obama,1,positive
way create jobs america raise taxes rich obama,0,neutral
guns bought since obama president lol,-1,negative
obama said president knows,-1,negative
obama real plans real,1,positive
obama jobs come back,1,positive
obama pointing firm hell,1,positive
right obama jobs aint common back thanks,1,positive
obama seemed like chill reading question lol,0,neutral
obama easily wins debate,1,positive
general electric paid federal taxes abc news via obama trying fix issues,1,positive
like way obama talks,-1,negative
obama hand talking,0,neutral
voting obama finish best got,1,positive
obama hair right wonder,0,neutral
drinking listening uncle obama,0,neutral
hate obama,1,positive
major difference debate obama plans whether put action future,1,positive
obama wants create next like,0,neutral
shovel ready high wage high skill shovel ready obama high wage high skill,0,neutral
lady obama much sides remember,0,neutral
candy jobs going come back obama low american ppl high goal,0,neutral
hollywood loves obama smh,1,positive
obama finally said straight jobs coming back,1,positive
obama needs get,-1,negative
obama win gone tweets via,1,positive
obama please mention,0,neutral
children god well god told obama way,1,positive
proud call obama president obama,1,positive
na honestly think obama win tho,1,positive
still laugh fact obama child year old last debate,0,neutral
set people straight obama,1,positive
obama claims low skill jobs overseas shows real lack americans able work,-1,negative
obama say want world peace drop mic,0,neutral
complete embarrassment obama nothing say defense,-1,negative
obama literally said jobs coming back want low skill jobs high industry everyone,-1,negative
case made obama romney give candy high five,0,neutral
obama better make minutes count,0,neutral
obama president anyone else caught lmfao,0,neutral
jobs answer wow obama,-1,negative
free enterprise systems obama,0,neutral
obama believes tax give highest,-1,negative
obama self reliance build,-1,negative
obama comes big lie believes risk taking self reliance etc come first time heard say,-1,negative
obama loves free enterprise would thought,0,neutral
told obama gon turn tonight,1,positive
obama want equal opportunity people college kids funny,0,neutral
obama,1,positive
believe play rules everyone play rules obama,0,neutral
obama,1,positive
complete obama,-1,negative
yeah obama debate sure,1,positive
wow obama even answering question,-1,negative
obama,-1,negative
reference obama blue crowd,0,neutral
playing rules economy obama,0,neutral
telling obama,1,positive
believe obama brought thing,0,neutral
given many people think obama communist socialist saying free market great,-1,negative
awkward seeing james obama right lol,0,neutral
obama said believes self reliance policies wants people government,-1,negative
obama finally brings save bet point last obama obama,1,positive
class warfare obama run,0,neutral
kidding hate obama,-1,negative
lol obama closing statement romney,0,neutral
obama supporters last debate,0,neutral
possible believe bring socialist obama said wants believe,0,neutral
voting obama,1,positive
obama,1,positive
president obama got vote,1,positive
doubt obama talks better game suck whole sucks vote new government,0,neutral
one obama,0,neutral
final obama hit percent comment best punch far strong finish obama,1,positive
awesome closing remarks pres obama,1,positive
obama wish president obama would brought fact republicans want get wage,1,positive
know obama would close,0,neutral
obama talks slow,0,neutral
obama jus shut,1,positive
obama nice person,1,positive
obama saying political crap,1,positive
obama yay obama,1,positive
think obama closing statement alone,1,positive
people sports obama sitting,0,neutral
stand hear obama voice anymore lies lies lies,-1,negative
obama definitely brought game tonight good job president,1,positive
obama came guns believe debate,1,positive
absolutely think obama much better job debate last one obama,1,positive
obama saves best last brings end debate last thing everyone slams,1,positive
yeah obama never called terrorist attack rose garden called attack pretty barack,-1,negative
love love obama show,1,positive
yes first lady michelle obama always point,0,neutral
obama elected going first gun end story romney ryan amen,0,neutral
obama,1,positive
obama spoke minutes longer romney tonight,1,positive
feel like game obama said words finish came,1,positive
close debate think obama took,1,positive
